year,month,site,quadrat,subsample,shootdensity,leafnumber,leaflength,leafwidth,epiphyteload,totalleafarea,epiphyteload/totalleafarea,egg-LASP,egg-PHTA,egg-UNWH,egg-HECR,egg-UN1,egg-UN2,egg-UNGR,egg-UNYR,hydroidUN,PHTA,LISP,ALCA,LAspp,HECR,mollusc1,IDRE,TAspp,isopodUN1,CACA,caprellidUN1,AMLA,gammaridUN1,gammaridUN2,HEspp,HEOR,copepodUN,crabUN,crustaceanUN2,PLBI,polychaetePH,polychaeteUN1,spaghettiUN,polychaeteUN2,nemerteanTE,nemerteanUNGR,nemerteanUN1,nemerteanUN2,flatwormUN1,flatwormUN2,EPPR,CLCA,tunicateUN,musselUN,jingleshellUN,limpetUN,barnacleUN,clamUN,bryozoanUN,mysidUN,scalewormUN,cowrieUN,cumaceaUN,ostracodUN,shrimpUN,nematodeUN
2013,sept,Westside,1,1,72,4,49.7,0.8,,,,,0,,0,,,,,,0,,0,0,,,0,,,0,,,0,,,,35,0,,,,7,,,,,,,,,,17,0,,,,,,,,,,,,,
2013,sept,Westside,2,1,40,3,95.1,0.7,,,,,0,,0,,,,,,0,,0,0,,,1,,,1,,,0,,,,50,0,,,,33,,,,,,,,,,6,0,,,,,,,,,,,,,
2013,sept,Westside,3,1,76,3,181.7,0.6,,,,,0,,0,,,,,,0,,0,0,,,2,,,1,,,0,,,,82,0,,,,46,,,,,,,,,,7,0,,,,,,,,,,,,,
2013,sept,Westside,4,1,56,4,94.2,0.8,,,,,0,,0,,,,,,0,,0,2,,,0,,,3,,,2,,,,73,0,,,,51,,,,,,,,,,15,0,,,,,,,,,,,,,
2013,sept,Westside,5,1,52,4,128.5,0.6,,,,,0,,0,,,,,,1,,0,1,,,0,,,0,,,0,,,,12,0,,,,22,,,,,,,,,,0,0,,,,,,,,,,,,,
2013,sept,Westside,6,1,12,4,66,0.6,,,,,0,,0,,,,,,0,,0,0,,,0,,,0,,,0,,,,17,0,,,,10,,,,,,,,,,1,0,,,,,,,,,,,,,
2013,sept,Westside,7,1,68,4,55.6,0.6,,,,,0,,0,,,,,,0,,0,0,,,0,,,0,,,0,,,,10,0,,,,12,,,,,,,,,,2,0,,,,,,,,,,,,,
2013,sept,Westside,8,1,44,4,104.2,0.9,,,,,0,,0,,,,,,0,,0,1,,,0,,,0,,,0,,,,20,0,,,,47,,,,,,,,,,2,0,,,,,,,,,,,,,
2013,sept,Westside,9,1,52,4,110.8,0.7,,,,,0,,0,,,,,,1,,0,1,,,0,,,3,,,0,,,,10,0,,,,51,,,,,,,,,,1,0,,,,,,,,,,,,,
2013,sept,Westside,10,1,44,4,143.2,0.7,,,,,0,,0,,,,,,0,,0,3,,,3,,,3,,,3,,,,10,0,,,,57,,,,,,,,,,4,0,,,,,,,,,,,,,
2013,sept,Westside,11,1,52,4,125.6,0.6,,,,,0,,0,,,,,,0,,0,3,,,2,,,7,,,0,,,,27,0,,,,130,,,,,,,,,,4,0,,,,,,,,,,,,,
2013,sept,Doran,1,1,80,5,77.5,0.6,,,,,0,,0,,,,,,0,,0,0,,,0,,,4,,,0,,,,0,0,,,,20,,,,,,,,,,0,0,,,,,,,,,,,,,
2013,sept,Doran,1,2,80,5,60.5,0.6,,,,,0,,0,,,,,,0,,0,0,,,0,,,3,,,0,,,,0,0,,,,5,,,,,,,,,,7,0,,,,,,,,,,,,,
2013,sept,Doran,1,3,80,5,87.7,0.7,,,,,0,,0,,,,,,1,,0,0,,,0,,,1,,,0,,,,0,0,,,,37,,,,,,,,,,0,0,,,,,,,,,,,,,
2013,sept,Doran,2,1,60,4,66.1,0.7,,,,,0,,0,,,,,,0,,0,0,,,0,,,1,,,0,,,,0,0,,,,19,,,,,,,,,,2,1,,,,,,,,,,,,,
