River,Site,Material,Sample Date,Oyster Density
Newport,a,Granite,Aug-12,46.905
Newport,a,Granite,Aug-12,18.762
Newport,a,Marl,Aug-12,9.32
Newport,a,Marl,Aug-12,18.64
Newport,a,Concrete,Aug-12,45.455
Newport,a,Concrete,Aug-12,0
Newport,a,Shell,Aug-12,37.208
Newport,a,Shell,Aug-12,9.302
Newport,b,Granite,Aug-12,18.762
Newport,b,Granite,Aug-12,28.143
Newport,b,Marl,Aug-12,55.92
Newport,b,Marl,Aug-12,18.64
Newport,b,Concrete,Aug-12,72.728
Newport,b,Concrete,Aug-12,145.456
Newport,b,Shell,Aug-12,65.114
Newport,b,Shell,Aug-12,55.812
Newport,c,Granite,Aug-12,9.381
Newport,c,Granite,Aug-12,0
Newport,c,Marl,Aug-12,27.96
Newport,c,Marl,Aug-12,37.28
Newport,c,Concrete,Aug-12,27.273
Newport,c,Concrete,Aug-12,0
Newport,c,Shell,Aug-12,18.604
Newport,c,Shell,Aug-12,9.302
Newport,d,Granite,Aug-12,0
Newport,d,Granite,Aug-12,18.762
Newport,d,Marl,Aug-12,18.64
Newport,d,Marl,Aug-12,9.32
Newport,d,Concrete,Aug-12,9.091
Newport,d,Concrete,Aug-12,18.182
Newport,d,Shell,Aug-12,93.02
Newport,d,Shell,Aug-12,27.906
Newport,e,Granite,Aug-12,1013.148
Newport,e,Granite,Aug-12,863.052
Newport,e,Marl,Aug-12,1612.36
Newport,e,Marl,Aug-12,2535.04
Newport,e,Concrete,Aug-12,1945.474
Newport,e,Concrete,Aug-12,1600.016
Newport,e,Shell,Aug-12,1162.75
Newport,e,Shell,Aug-12,1395.3
North,a,Granite,Aug-12,56.286
North,a,Granite,Aug-12,0
North,a,Marl,Aug-12,9.32
North,a,Marl,Aug-12,0
North,a,Concrete,Aug-12,27.273
North,a,Concrete,Aug-12,18.182
North,a,Shell,Aug-12,27.906
North,a,Shell,Aug-12,27.906
North,b,Granite,Aug-12,9.381
North,b,Granite,Aug-12,9.381
North,b,Marl,Aug-12,37.28
North,b,Marl,Aug-12,46.6
North,b,Concrete,Aug-12,27.273
North,b,Concrete,Aug-12,9.091
North,b,Shell,Aug-12,0
North,b,Shell,Aug-12,111.624
North,c,Granite,Aug-12,46.905
North,c,Granite,Aug-12,234.525
North,c,Marl,Aug-12,27.96
North,c,Marl,Aug-12,121.16
North,c,Concrete,Aug-12,154.547
North,c,Concrete,Aug-12,236.366
North,c,Shell,Aug-12,130.228
North,c,Shell,Aug-12,111.624
North,d,Granite,Aug-12,65.667
North,d,Granite,Aug-12,197.001
North,d,Marl,Aug-12,158.44
North,d,Marl,Aug-12,130.48
North,d,Concrete,Aug-12,309.094
North,d,Concrete,Aug-12,36.364
North,d,Shell,Aug-12,372.08
North,d,Shell,Aug-12,241.852
North,e,Granite,Aug-12,544.098
North,e,Granite,Aug-12,356.478
North,e,Marl,Aug-12,326.2
North,e,Marl,Aug-12,512.6
North,e,Concrete,Aug-12,54.546
North,e,Concrete,Aug-12,590.915
North,e,Shell,Aug-12,892.992
North,e,Shell,Aug-12,1125.542
Newport,a,Granite,Oct-12,0
Newport,a,Granite,Oct-12,0
Newport,a,Marl,Oct-12,0
Newport,a,Marl,Oct-12,0
Newport,a,Concrete,Oct-12,54.546
Newport,a,Concrete,Oct-12,45.455
Newport,a,Shell,Oct-12,74.416
Newport,a,Shell,Oct-12,55.812
Newport,b,Granite,Oct-12,18.762
Newport,b,Granite,Oct-12,18.762
Newport,b,Marl,Oct-12,9.32
Newport,b,Marl,Oct-12,18.64
Newport,b,Concrete,Oct-12,118.1833024
Newport,b,Concrete,Oct-12,300.003
Newport,b,Shell,Oct-12,130.228
Newport,b,Shell,Oct-12,55.812
Newport,c,Granite,Oct-12,0
Newport,c,Granite,Oct-12,9.381
Newport,c,Marl,Oct-12,0
Newport,c,Marl,Oct-12,0
Newport,c,Concrete,Oct-12,118.183
Newport,c,Concrete,Oct-12,18.182
Newport,c,Shell,Oct-12,55.812
Newport,c,Shell,Oct-12,55.812
Newport,d,Granite,Oct-12,0
Newport,d,Granite,Oct-12,46.905
Newport,d,Marl,Oct-12,9.32
Newport,d,Marl,Oct-12,27.96
Newport,d,Concrete,Oct-12,9.091
Newport,d,Concrete,Oct-12,72.728
Newport,d,Shell,Oct-12,111.624
Newport,d,Shell,Oct-12,167.4357937
Newport,e,Granite,Oct-12,581.622
