Site Name,Site.code,Date.surveyed,Quad.num,Quad.area.m2,Live.per.quad,Live.per.m2,Empty.burrows.perquad,Empty.burrows.perm2,Prior.density.m2,Impact,Latitude
Van Damme,VD,09/29/11,1,0.25,102,408,0,0,408,No,39.281219
Van Damme,VD,09/29/11,2,0.25,112,448,0,0,448,No,39.281219
Van Damme,VD,09/29/11,3,0.25,84,336,0,0,336,No,39.281219
Van Damme,VD,09/29/11,4,0.25,106,424,0,0,424,No,39.281219
Van Damme,VD,09/29/11,5,0.25,113,452,0,0,452,No,39.281219
Van Damme,VD,09/29/11,6,0.25,94,376,0,0,376,No,39.281219
Van Damme,VD,09/29/11,7,0.25,35,140,0,0,140,No,39.281219
Van Damme,VD,09/29/11,8,0.25,56,224,0,0,224,No,39.281219
Van Damme,VD,09/29/11,9,0.25,90,360,0,0,360,No,39.281219
Van Damme,VD,09/29/11,10,0.25,67,268,0,0,268,No,39.281219
Van Damme,VD,09/29/11,11,0.25,100,400,0,0,400,No,39.281219
Van Damme,VD,09/29/11,12,0.25,102,408,0,0,408,No,39.281219
Arena Cove,AC,10/27/11,1,0.25,101,404,0,0,404,No,38.915833
Arena Cove,AC,10/27/11,2,0.25,104,416,0,0,416,No,38.915833
Arena Cove,AC,10/27/11,3,0.25,111,444,0,0,444,No,38.915833
Arena Cove,AC,10/27/11,4,0.25,98,392,0,0,392,No,38.915833
Arena Cove,AC,10/27/11,5,0.25,93,372,0,0,372,No,38.915833
Arena Cove,AC,10/27/11,6,0.25,99,396,0,0,396,No,38.915833
Arena Cove,AC,10/27/11,7,0.25,128,512,0,0,512,No,38.915833
Arena Cove,AC,10/27/11,8,0.25,135,540,0,0,540,No,38.915833
Arena Cove,AC,10/27/11,9,0.25,92,368,0,0,368,No,38.915833
Arena Cove,AC,10/27/11,10,0.25,66,264,0,0,264,No,38.915833
Arena Cove,AC,10/27/11,11,0.25,140,560,0,0,560,No,38.915833
Arena Cove,AC,10/27/11,12,0.25,113,452,0,0,452,No,38.915833
Moat Creek,MC,11/26/11,1,0.25,53,212,0,0,212,No,38.88121
Moat Creek,MC,11/26/11,2,0.25,61,244,0,0,244,No,38.88121
Moat Creek,MC,11/26/11,3,0.25,47,188,0,0,188,No,38.88121
Moat Creek,MC,11/26/11,4,0.25,67,268,0,0,268,No,38.88121
Moat Creek,MC,11/26/11,5,0.25,39,156,0,0,156,No,38.88121
Moat Creek,MC,11/26/11,6,0.25,74,296,0,0,296,No,38.88121
Moat Creek,MC,11/26/11,7,0.25,13,52,0,0,52,No,38.88121
Moat Creek,MC,11/26/11,8,0.25,27,108,0,0,108,No,38.88121
Moat Creek,MC,11/26/11,9,0.25,12,48,0,0,48,No,38.88121
Moat Creek,MC,11/26/11,10,0.25,16,64,0,0,64,No,38.88121
Moat Creek,MC,11/26/11,11,0.25,34,136,0,0,136,No,38.88121
Moat Creek,MC,11/26/11,12,0.25,17,68,0,0,68,No,38.88121
Iversen Point,IP,11/27/11,1,0.25,118,472,0,0,472,No,38.849795
Iversen Point,IP,11/27/11,2,0.25,101,404,0,0,404,No,38.849795
Iversen Point,IP,11/27/11,3,0.25,133,532,0,0,532,No,38.849795
Iversen Point,IP,11/27/11,4,0.25,89,356,0,0,356,No,38.849795
Iversen Point,IP,11/27/11,5,0.25,147,588,0,0,588,No,38.849795
Iversen Point,IP,11/27/11,6,0.25,112,448,0,0,448,No,38.849795
Iversen Point,IP,11/27/11,7,0.25,85,340,0,0,340,No,38.849795
Iversen Point,IP,11/27/11,8,0.25,125,500,0,0,500,No,38.849795
Iversen Point,IP,11/27/11,9,0.25,126,504,0,0,504,No,38.849795
Iversen Point,IP,11/27/11,10,0.25,90,360,0,0,360,No,38.849795
Iversen Point,IP,11/27/11,11,0.25,104,416,0,0,416,No,38.849795
Iversen Point,IP,11/27/11,12,0.25,78,312,0,0,312,No,38.849795
Serenisea,SS,11/25/11,1,0.25,0,0,41,164,164,Yes,38.797972
Serenisea,SS,11/25/11,2,0.25,0,0,34,136,136,Yes,38.797972
Serenisea,SS,11/25/11,3,0.25,0,0,42,168,168,Yes,38.797972
Serenisea,SS,11/25/11,4,0.25,0,0,51,204,204,Yes,38.797972
Serenisea,SS,11/25/11,5,0.25,0,0,37,148,148,Yes,38.797972
Serenisea,SS,11/25/11,6,0.25,0,0,48,192,192,Yes,38.797972
Serenisea,SS,11/25/11,7,0.25,0,0,18,72,72,Yes,38.797972
Serenisea,SS,11/25/11,8,0.25,0,0,22,88,88,Yes,38.797972
Serenisea,SS,11/25/11,9,0.25,0,0,44,176,176,Yes,38.797972
Serenisea,SS,11/25/11,10,0.25,0,0,29,116,116,Yes,38.797972
Serenisea,SS,11/25/11,11,0.25,0,0,32,128,128,Yes,38.797972
Serenisea,SS,11/25/11,12,0.25,0,0,16,64,64,Yes,38.797972
Phillips Gulch,PG,10/28/11,1,0.25,0,0,92,368,368,Yes,38.585928
Phillips Gulch,PG,10/28/11,2,0.25,0,0,76,304,304,Yes,38.585928
Phillips Gulch,PG,10/28/11,3,0.25,0,0,84,336,336,Yes,38.585928
Phillips Gulch,PG,10/28/11,4,0.25,0,0,90,360,360,Yes,38.585928
Phillips Gulch,PG,10/28/11,5,0.25,0,0,102,408,408,Yes,38.585928
Phillips Gulch,PG,10/28/11,6,0.25,0,0,78,312,312,Yes,38.585928
Phillips Gulch,PG,10/28/11,7,0.25,0,0,65,260,260,Yes,38.585928
Phillips Gulch,PG,10/28/11,8,0.25,0,0,48,192,192,Yes,38.585928
Phillips Gulch,PG,10/28/11,9,0.25,0,0,32,128,128,Yes,38.585928
Phillips Gulch,PG,10/28/11,10,0.25,0,0,100,400,400,Yes,38.585928
Phillips Gulch,PG,10/28/11,11,0.25,0,0,75,300,300,Yes,38.585928
